"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"0","","LB-2_rgpwa8k04a_2e","","ssl","","2","1","","","","","","","","","","","","TB Categories","l","MEDA"
"1-0","","LB-2_rgpwa8k04a_2f","","ssl","","2","1","","","","","","","","","","","","TB Categories","l","MEDA"
"i1-0","","LB-2_rgpwa8k04a_2g","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"i1-0","","LB-2_rgpwa8k04a_2h","","dga","","4","4","","","","","","","","","","","","TB Categories","l","MEDA"
"1-0","","LB-2_rgpwa8k04a_2i","","dga","","3","2","","","","","","","","","","","","TB Categories","l","MEDA"
"1-2","","LB-2_rgpwa8k04a_2j","","ssl","","2","1","","","","","","","","","","","","TB Categories","l","MEDA"
"2-0","","LB-2_rgpwa8k04a_2k","","ssl","","3","1","","","","","","","","","","","","TB Categories","l","MEDA"
"2-9","","LB-2_rgpwa8k04a_2l","","ssl","","2","2","","","","","","","","","","","","TB Categories","l","MEDA"
"i2-9","","LB-2_rgpwa8k04a_2m","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"4-0","","LB-2_rgpwa8k04a_2n","","ssl","","3","1","","","","","","","","","","","","TB Categories","l","MEDA"
"5-4","","LB-2_rgpwa8k04a_2o","","ssl","","2","4","","","","","","","","","","","","TB Categories","l","MEDA"
"i5-4","","LB-2_rgpwa8k04a_2p","","ssl","","3","8","","","","","","","","","","","","TB Categories","l","MEDA"
"i5-4","","LB-2_rgpwa8k04a_2q","","dga","","4","7","","","","","","","","","","","","TB Categories","l","MEDA"
"5-4","","LB-2_rgpwa8k04a_2r","","dga","","4","3","","","","","","","","","","","","TB Categories","l","MEDA"
"5-5","","LB-2_rgpwa8k04a_2s","","ssl","","2","2","","","","","","","","","","","","TB Categories","l","MEDA"
"i5-5","","LB-2_rgpwa8k04a_2t","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"i5-5","","LB-2_rgpwa8k04a_2u","","dga","","4","6","","","","","","","","","","","","TB Categories","l","MEDA"
"5-5","","LB-2_rgpwa8k04a_2v","","dga","","3","2","","","","","","","","","","","","TB Categories","l","MEDA"
"9-0","","LB-2_rgpwa8k04a_2w","","ssl","","3","1","","","","","","","","","","","","TB Categories","l","MEDA"
"10-2","","LB-2_rgpwa8k04a_2x","","ssl","","2","2","","","","","","","","","","","","TB Categories","l","MEDA"
"i10-2","","LB-2_rgpwa8k04a_2y","","ssl","","3","6","","","","","","","","","","","","TB Categories","l","MEDA"
"i10-2","","LB-2_rgpwa8k04a_2z","","dga","","4","7","","","","","","","","","","","","TB Categories","l","MEDA"
"10-2","","LB-2_rgpwa8k04a_30","","dga","","3","3","","","","","","","","","","","","TB Categories","l","MEDA"
"i$0-1","","LB-2_rgpwa8k04a_31","","ssl","","2","7","","","","","","","","","","","","TB Categories","l","MEDA"
"i0","","LB-2_rgpwa8k04a_32","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"i1-2","","LB-2_rgpwa8k04a_33","","ssl","","2","5","","","","","","","","","","","","TB Categories","l","MEDA"
"i2-0","","LB-2_rgpwa8k04a_34","","ssl","","3","4","","","","","","","","","","","","TB Categories","l","MEDA"
"i4-0","","LB-2_rgpwa8k04a_35","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"i9-0","","LB-2_rgpwa8k04a_36","","ssl","","3","5","","","","","","","","","","","","TB Categories","l","MEDA"
"$0-1","","LB-2_rgpwa8k04a_37","","ssl","","2","2","","","","","","","","","","","","TB Categories","l","MEDA"
