"ID","Name","Project"
"1","Agriculture","UWR"
"1-0","General Agriculture","UWR"
"1-1","Crops","UWR"
"1-1-0","General Crops","UWR"
"1-1-1","Maize","UWR"
"1-1-2","Millet","UWR"
"1-1-3","Cowpeas","UWR"
"1-1-4","Groundnuts","UWR"
"1-1-5","Rice","UWR"
"1-1-6","Soybeans","UWR"
"1-2","Livestock","UWR"
"1-2-0","General Livestock","UWR"
"1-2-1","Chickens/Fowl","UWR"
"1-2-2","Sheep","UWR"
"1-2-3","Goats","UWR"
"1-2-4","Cows","UWR"
"1-2-5","Donkeys","UWR"
"1-3","Agric Process","UWR"
"1-3-0","General Agric Process","UWR"
"1-3-1","Preparing land for the growing season","UWR"
"1-3-2","Planting / Sowing","UWR"
"1-3-3","Maintaining crops (e.g. weeding)","UWR"
"1-3-4","Harvesting","UWR"
"1-3-5","Storing","UWR"
"1-4","Agric Business","UWR"
"1-4-0","General Agric Business","UWR"
"1-4-1","Marketing","UWR"
"1-4-2","Selling","UWR"
"1-5","Fish","UWR"
"2","Health","UWR"
"2-0","General Health","UWR"
"2-5","Antenatal care","UWR"
"2-6","Neonatal care","UWR"
"2-9","Nutrition","UWR"
"2-7","Hygiene and sanitation","UWR"
"2-8","Family planning","UWR"
"2-2","Malaria","UWR"
"2-1","HIV/Aids","UWR"
"2-3","Tuberculosis","UWR"
"2-4","Other infectious diseases","UWR"
"3","Education","UWR"
"3-0","General Education","UWR"
"3-1","Adult Literacy","UWR"
"3-2","School Lessons","UWR"
"4","Stories","UWR"
"4-0","General Stories","UWR"
"4-1","Oral stories","UWR"
"4-2","Spoken books","UWR"
"7","Music","UWR"
"6","Governance","UWR"
"5","Business","UWR"
"5-0","General Business","UWR"
"5-1","Accounting","UWR"
"5-2","Marketing","UWR"
"5-3","Entrepreneurship","UWR"
"5-4","Financial Services","UWR"
"5-5","Value Chain","UWR"
"10","Society and Culture","UWR"
"10-0","General Society and Culture","UWR"
"10-2","Gender","UWR"
"10-1","Social Issues","UWR"
"11","Environment","UWR"
"9","Feedback from Users","UWR"
"9-0","General Feedback","UWR"
"9-2","Useless","UWR"
"9-1","Needs review","UWR"
"9-4","Agric Questions","UWR"
"9-3","Health Questions","UWR"
"9-5","General Questions","UWR"
"9-6","Endorsements","UWR"
"9-8","Potential Future Content","UWR"
"9-9","Nice Singing","UWR"
"9-10","Entertaining Messages","UWR"
"0","Other Messages","UWR"
"0-0","General Other","UWR"
"0-3","Communities","UWR"
"0-5","Intro Message","UWR"
"0-4","Talking Book","UWR"
"0-4-1","TB System","UWR"
"0-4-2","TB Categories","UWR"
"0-4-3","OLD-TB Update Intros","UWR"
"0-2","Favorites","UWR"
"0-1","OLD Talking Book","UWR"
"0-6","Deployments","UWR"
"0-6-1","Update 1","UWR"
"0-6-2","Update 2","UWR"
"0-6-3","Update 3","UWR"
"0-6-4","Update 4","UWR"
"0-6-5","Update 5","UWR"
"0-6-6","Update 6","UWR"
"0-6-7","Update 7","UWR"
"0-6-8","Update 8","UWR"
"0-6-9","Update 9","UWR"
"0-6-10","Update 10","UWR"
"0-6-11","Update 11","UWR"
"0-6-12","Update 12","UWR"
"0-6-13","Update 13","UWR"
"0-6-14","Update 14","UWR"
"0-6-15","Update 15","UWR"
"0-6-16","Update 16","UWR"
