"DC_TITLE","DC_PUBLISHER","DC_IDENTIFIER","DC_SOURCE","DC_LANGUAGE","DC_RELATION","DTB_REVISION","LB_DURATION","LB_MESSAGE_FORMAT","LB_TARGET_AUDIENCE","LB_DATE_RECORDED","LB_KEYWORDS","LB_TIMING","LB_PRIMARY_SPEAKER","LB_GOAL","LB_ENGLISH_TRANSCRIPTION","LB_NOTES","LB_BENEFICIARY","LB_STATUS","CATEGORIES","QUALITY","PROJECT"
"Identifying right insecticides & timing for spraying beans","","ECH_0146_37BA5C20","MOFA-Wa","dga","","39","467","Lecture","Farmers","14-Sept-2012","Karat-Health Precautions-Certified Input Dealers.","Two weeks after sowing.","Mr.Alphonsus Abobo","Help farmers identifying and using insecticides properly","https://www.dropbox.com/s/3ojpqxhfgfnt3ds/Identifying%20right%20insecticides%20%26%20timing%20for%20spraying%20bean.rtf","How to identify right insecticides, when  and number of times, conditions for spraying and health precausions to observe during spraying.","","","Cowpeas","l","UWR"
"ANC and During Pregnacy Activities.","","ECH_0236_63ED86F0","GHS-Wa","dga","","47","439","Interview","Pregnant women","14-Sep-2012","Nutrition,Pregnacy Status,Care","Immediately after pregnancy suspicion","Madam Theresa","Educate pregnant women on benifits of ANC","","Activities during ANC, background information, preliminary tests, nutrition and care during the pregnancy.","","","Antenatal care","l","UWR"
"ANC and Malaria Advice.","","LB-2_ifdcs046hh_3","GHS-Jirapa","dga","","20","165","Lecture","Pregnant women","12-Sept-2012","Bet nets ANC card Swollen Feet White Tongue","On-set of Pregenancy","","General advice and tips to observe during Pregnancy including malaria prevention","https://www.dropbox.com/s/egpoxpvdsxrk1mk/ANC%20and%20Malaria%20advice.rtf","Importance of ANC and how to prevent Malaria during pregnancy.","","","Malaria, Antenatal care","h","UWR"
"Advice on Who and where to Deliver a Pregnancy","","ECH_0236_0BBA4806","GHS-Wa Municipal","dga","","19","284","Interview","Pregnant women","12-Sept-2012","TBA CHO CHIPS compound Navel cutting Monsugo","Final Quater of Pregnancy","Madam Esther","Educate women on where to deliver","https://www.dropbox.com/s/8l9j4nkf5zew8fz/Advice%20on%20Who%20and%20where%20to%20Deliver%20a%20Pregnancy.rtf","Where to deliver a child during emmergency, effects of monsugo","","","Neonatal care, Antenatal care","l","UWR"
"Signs and Symptoms of Deleivery","TB0003a2","TB0003a2_D405339C","Mama Care Messages","dga","","15","274","Lecture","Pregnant women","12-Sept-2012","Child growth White fluids Infection Waist pains ","Last month of Pregnacy","Madam Mary Magdaline (Jirpa)","Educate pregnant women on signs indicating how close the are to deliver","https://www.dropbox.com/s/3umaf8o3lb0kojr/signs%20and%20symptoms%20of%20delivery.rtf","Through education on signs to look out for as indicators to how close delivey is.","","","Antenatal care","l","UWR"
"Weeding ","","ECH_0146_E8DAA668","MOFA-Wa","dga","","26","269","Lecture","Farmers","14-Sept-2012","Weedicides Conderm Early Weeding Napsag","Two to three weeks after sowing","Mr. Abobo Alphansus","Advocate the Importance of early weeding & Identifying right chemicals for weeding","","The importance of early weeding to the farmer, identifying the right chemicals to control weeds and weed control for each type of crop were thought under this topic","","","Maintaining crops (e.g. weeding)","l","UWR"
"Where to Buy Bednets","","LB-2_n9b0hwt3v7_7","GHS-Wa Municipal","dga","","24","126","Interview","Pregnant women","12-Sept-2012","Bed Nets Foka Enterprise Price","Rainy season","Madam Esther","Where to Get Bednets.","","Short Clarification on why GHS does not supply bednets again and where to buy them.","","0","Malaria, Antenatal care","h","UWR"
"Sowing","","ECH_0146_AC8B1110","MOFA-Wa","dga","","16","248","Lecture","Farmers","14-Sept-2012","Overcrowding crops per area overspacing","During sowing","Mr. Alphonsus Abobo","Highlight importance of sowing in lines","https://www.dropbox.com/s/dszfldmy2dmzrbz/sowing.rtf","Importance of sowing in lines and spraying after germination were thought","","","Planting / Sowing","l","UWR"
"Family Planing","","LB-2_iq37c93qlt_5","GHS-Wa Reg (Songs)","dga","","22","123","Song","Mothers","12-Sept-2012","Pregnancy Healthy family","All year","GHS-Charia Women Group","Educate women on family planning","","Song elaborates how family planning has made their family healthy and loving.","","","Family planning, Antenatal care","h","UWR"
"Good Seeds selection","","ECH_0146_4D286DB8","MOFA-Wa","dga","","19","230","Lecture","Farmers","14-Sept-2012","Germination Test Seedlings Seed Unit Input dealers","Before First Rains","Mr. Aphonsus Abobo","Educate farmers on Importance of goods","https://www.dropbox.com/s/u293edpot83th4d/good%20seeds%20selection.rtf","Importance of using certified seeds, where to get them, how to conduct seed germination test and seeking help from teachers in communities.","","","Planting / Sowing, General Agriculture","l","UWR"
